FIRSTNAME | LASTNAME | TITLE | YEAR | TYPE | POSITION | GENDER
Dennis | Allen | "Rowan & Martin's Laugh-In"  | 1968 | M |  | M
Dennis | Allen | "What's It All About, World?"  | 1969 | M | 6 | M
Derek 'Doa' | Allen | House Party 3  | 1994 | M | 45 | M
Des | Allen | Either Way You Lose  | 1995 | M |  | M
Dick (IV) | Allen | Summer Catch  | 2001 | M | 25 | M
Domenick | Allen | Spirit of Mickey, The  | 1998 | V | 1 | M
Dominic | Allen | Rei Zero  | 2001 | VG | 2 | M
Dominic | Allen | Shen mue II  | 2001 | VG | 31 | M
Dominic | Allen | Silent Hill 2  | 2001 | VG | 6 | M
Dominic | Allen | Sucre amer  | 1998 | M | 23 | M
Don (II) | Allen | Exalted Flapper, The  | 1929 | M |  | M
Don (III) | Allen | Cheated Desire  | 2003 | M |  | M
Don (IV) | Allen | Face-Off  | 1971 | M | 3 | M
Don (V) | Allen | Consenting Adults  | 1982 | M |  | M
Donald (I) | Allen | Once Were Warriors  | 1994 | M | 46 | M
Donald (I) | Allen | Traveling to Olympia  | 2001 | V | 4 | M
